Code,Name,Symptoms,Treatments
157,Otosclerosis,"Hearing loss (gradual and progressive), tinnitus (ringing in the ears), dizziness or balance problems","Hearing aids, surgical interventions (such as stapedectomy or stapedotomy to replace the affected bone in the middle ear), sodium fluoride therapy (to slow down the progression of the condition), communication strategies and support (such as lip-reading or sign language), regular hearing assessments"
158,Hypothyroidism,"Fatigue, weight gain, sensitivity to cold, dry skin, constipation, depression, muscle weakness, elevated cholesterol levels","Hormone replacement therapy with synthetic thyroid hormone (levothyroxine), regular monitoring of thyroid hormone levels and adjustment of medication dosage, lifestyle modifications (such as healthy diet and regular exercise), management of associated symptoms (such as cholesterol-lowering medications or antidepressants), education and support for long-term management"
159,Primary Insomnia,"Difficulty falling asleep or staying asleep, daytime sleepiness, irritability, difficulty concentrating","Cognitive-behavioral therapy for insomnia (CBT-I), sleep hygiene practices (such as maintaining a regular sleep schedule, creating a comfortable sleep environment), relaxation techniques, stimulus control techniques (such as limiting bed activities to sleep only), sleep restriction therapy, medications for insomnia (such as sedative-hypnotics, melatonin agonists)"
160,Lice,Itching and visible presence of lice or nits (eggs) in the hair,"Over-the-counter or prescription medications specifically designed to kill lice (such as pediculicides), manual removal of lice and nits using a fine-toothed comb, washing and drying of infested clothing and bedding at high temperatures, vacuuming of upholstery and household surfaces, disinfection of personal items that cannot be washed or dried, avoiding direct head-to-head contact with infested individuals, education and prevention strategies"
161,Vitamin B12 Deficiency,"Fatigue, weakness, pale skin, shortness of breath, tingling or numbness in the hands and feet, balance problems, sore tongue","Vitamin B12 supplementation (such as oral supplements or injections), dietary changes to include B12-rich foods (such as meat, fish, eggs, and dairy products), identification and management of underlying causes (such as pernicious anemia or malabsorption disorders), management of associated symptoms or complications (such as nerve pain or balance problems), regular monitoring of B12 levels and treatment adjustment"
162,Vulvodynia,"Persistent pain or discomfort in the vulva, burning, stinging, rawness, itching","Topical medications (such as lidocaine or estrogen creams), nerve blocks, physical therapy (including pelvic floor muscle relaxation exercises), cognitive-behavioral therapy (CBT), biofeedback, medications (such as tricyclic antidepressants or anticonvulsants), vulvar care and hygiene practices, stress management techniques, alternative therapies (such as acupuncture or herbal remedies)"
163,Endometriosis,"Pelvic pain (during menstruation, intercourse, or bowel movements), heavy menstrual bleeding, infertility","Pain management (such as nonsteroidal anti-inflammatory drugs [NSAIDs], hormonal contraceptives, or progestins), hormone therapy (such as gonadotropin-releasing hormone [GnRH] agonists or oral contraceptives), surgical interventions (such as laparoscopic excision or hysterectomy), fertility treatments (if pregnancy is desired), lifestyle modifications (such as regular exercise, stress management), complementary therapies (such as acupuncture or dietary changes)"
164,Vasculitis,"Inflammation of blood vessels leading to various symptoms depending on the affected organs, including rash, fever, fatigue, muscle and joint pain, shortness of breath, weight loss","Treatment depends on the type and severity of vasculitis. It may include corticosteroids, immunosuppressive medications (such as cyclophosphamide or azathioprine), biologic therapies (such as rituximab), disease-specific treatments (such as plasmapheresis for certain types), supportive care to manage symptoms (such as pain relievers or blood pressure medications), monitoring and management of associated complications (such as organ damage or infections)"
165,Concussion,"Headache, dizziness, nausea or vomiting, confusion, memory problems, sensitivity to light or noise, mood changes","Physical and cognitive rest, gradual return to normal activities, symptom management (such as pain relievers or anti-nausea medication), monitoring for complications (such as changes in neurological function), cognitive rehabilitation (if persistent cognitive problems), management of associated symptoms (such as sleep disturbances or mood changes), education and support for recovery, avoiding further head injuries"
166,Oral Leukoplakia,"White patches or plaques in the mouth, often on the tongue or inside of the cheeks, that cannot be scraped off","Regular monitoring and follow-up, identification and elimination of potential irritants (such as tobacco or alcohol), improving oral hygiene practices, medication (such as topical retinoids or antifungal agents), surgical removal (in some cases), cryotherapy (freezing the patches), laser therapy, lifestyle modifications (such as healthy diet), regular dental check-ups, education and support"
167,Chronic Kidney Disease,"Fatigue, swelling of the legs or ankles, decreased appetite, difficulty concentrating, increased urination or urine changes, blood in urine, high blood pressure","Management of underlying conditions (such as diabetes or high blood pressure), lifestyle modifications (such as healthy diet, regular exercise, smoking cessation), medications (such as ACE inhibitors or diuretics), dialysis (in advanced stages), kidney transplant (in end-stage kidney disease), management of associated complications (such as anemia or bone disease), regular monitoring and follow-up with a nephrologist, education and support for self-care"
168,Bladder Disorder,"Frequent urination, urgency, pelvic pain","Medications, bladder training, lifestyle changes"
169,Chorioretinitis,"Eye pain, blurred vision, sensitivity to light","Antiviral medications, corticosteroids, eye drops"
170,Priapism,"Persistent, painful erection","Medical intervention (aspiration, medication, surgery)"
171,Myositis,"Muscle weakness, pain, inflammation","Medications (corticosteroids, immunosuppressants), physical therapy"
172,Mononucleosis,"Fatigue, sore throat, swollen lymph nodes","Rest, pain relievers, fluids, symptom management"
173,Neuralgia,"Sharp, shooting pain along the affected nerve","Medications (pain relievers, anticonvulsants), nerve blocks"
174,Polycystic Kidney Disease,"Abdominal pain, high blood pressure, kidney cysts","Symptom management, blood pressure control, dialysis"
175,Bipolar Disorder,"Mood swings, manic episodes, depressive episodes","Medications (mood stabilizers, antipsychotics), therapy"
176,Amyloidosis,"Fatigue, weight loss, organ dysfunction",Treatment depends on the type and extent of organ damage
177,Chronic Inflammatory Demyelinating Polyneuropathy (CIDP),"Weakness, numbness, tingling in limbs","Immunoglobulin therapy, corticosteroids, physical therapy"
178,Gastroesophageal Reflux Disease (GERD),"Heartburn, acid reflux, chest pain","Lifestyle changes, medications (antacids, proton pump inhibitors)"
179,Vitreous Hemorrhage,"Floaters in vision, blurry vision, eye pain","Observation, laser treatment, vitrectomy (in severe cases)"
180,Antimicrobial Drugs Poisoning,"Nausea, vomiting, diarrhea, neurological symptoms","Immediate medical attention, supportive care, antidote administration"
181,Scleroderma,"Thickening of the skin, Raynaud's phenomenon","Medications (immunosuppressants), therapy, symptom management"
182,Myasthenia Gravis,"Muscle weakness, fatigue, difficulty speaking","Medications (acetylcholinesterase inhibitors, immunosuppressants), thymectomy (in some cases)"
183,Hypoglycemia,"Shaking, dizziness, confusion, sweating","Consuming glucose or sugar-containing foods, adjusting medication or insulin dosage"
184,Idiopathic Absence of Menstruation,Lack of menstrual periods,"Evaluation to determine underlying cause, hormone therapy"
185,Dislocation of the Ankle,"Swelling, severe pain, inability to bear weight","Reduction (realigning the bones), immobilization, rehab"
186,Carbon Monoxide Poisoning,"Headache, dizziness, nausea, confusion","Fresh air, oxygen therapy, immediate medical attention"
187,Panic Attack,"Chest pain, shortness of breath, palpitations","Breathing exercises, relaxation techniques, therapy"
188,Plantar Fasciitis,"Heel pain, tenderness, difficulty walking","Rest, stretching exercises, orthotic devices, physiotherapy"
189,Hyperopia,"Difficulty seeing objects up close, blurred vision when focusing on near objects","Eyeglasses, contact lenses, refractive surgery"
190,Sedatives Poisoning,"Drowsiness, confusion, slowed breathing","Immediate medical attention, supportive care, antidote administration"
191,Pemphigus,Painful blisters on the skin and mucous membranes,"Corticosteroids, immunosuppressants, wound care"
192,Peyronie Disease,"Curvature of the penis, pain during erections","Medications, traction therapy, surgery"
193,Hiatal Hernia,"Heartburn, chest pain, difficulty swallowing","Lifestyle changes, medications (antacids, proton pump inhibitors)"
194,Extrapyramidal Effect of Drugs,"Muscle stiffness, tremors, involuntary movements","Adjusting medication dosage, switching to alternative medications"
195,Meniere Disease,"Vertigo, hearing loss, tinnitus, ear fullness","Medications (diuretics, anti-vertigo drugs), lifestyle changes"
196,Anal Fissure,"Pain during bowel movements, rectal bleeding","Stool softeners, fiber supplements, topical ointments, surgical procedures (in severe cases)"
197,Chronic Otitis Media,"Ear pain, hearing loss, recurrent ear infections","Antibiotics, ear drops, surgical intervention (in some cases)"
198,Hirschsprung Disease,"Chronic constipation, abdominal distension, failure to pass meconium (in newborns)",Surgery to remove the affected part of the colon (pull-through procedure)
199,Polymyalgia Rheumatica,"Muscle pain and stiffness, joint pain, fatigue","Low-dose corticosteroids, nonsteroidal anti-inflammatory drugs (NSAIDs)"
200,Lymphedema,"Swelling in arms or legs, feeling of heaviness or tightness","Compression therapy, exercise, lymphatic drainage techniques, surgery (in severe cases)"
201,Bladder Cancer,"Blood in urine, frequent urination, pelvic pain","Surgery, chemotherapy, radiation therapy"
202,Acute Bronchospasm,"Wheezing, shortness of breath, chest tightness","Bronchodilators (inhaled medications), corticosteroids, supplemental oxygen (if needed)"
203,Acute Glaucoma,"Severe eye pain, blurred vision, halos around lights","Medications (eye drops), laser therapy, surgery (in some cases)"
204,Dislocation of the Patella,"Knee pain, swelling, inability to straighten the leg","Manual reduction, immobilization, physical therapy"
205,Sciatica,Pain radiating from the lower back to the leg,"Pain medications, physical therapy, stretching exercises"
206,Hypercalcemia,"Fatigue, nausea, excessive thirst, kidney stones","Treating underlying cause, hydration, medications"
207,Stress Incontinence,Unintentional urine leakage during physical activity,"Pelvic floor exercises, behavioral techniques, surgery (in severe cases)"
208,Benign Kidney Cyst,"Abdominal or flank pain, blood in urine, frequent urination","Observation, medication (if needed), surgery (in rare cases)"
209,Hydrocele of the Testicle,Swelling of the scrotum,"Observation, surgical drainage (in some cases)"
210,Hirsutism,Excessive hair growth in women,"Medications (anti-androgens, oral contraceptives), hair removal methods, lifestyle changes"
211,Hydronephrosis,"Flank pain, urinary frequency, swelling in the abdomen","Treating underlying cause, medications, ureteral stent, surgery"
212,Diverticulosis,"Abdominal pain, bloating, changes in bowel movements","High-fiber diet, medications (pain relievers, antibiotics)"
213,Pain after an Operation,"Surgical site pain, discomfort, swelling","Pain medications, ice packs, rest, wound care"
214,Huntington Disease,"Motor, cognitive, and psychiatric symptoms","Supportive care, medications (to manage symptoms), therapy"
215,West Nile Virus,"Fever, headache, body aches, rash","Supportive care, symptom management, prevention of mosquito bites"
216,Lymphoma,"Swollen lymph nodes, unexplained weight loss, fatigue","Chemotherapy, radiation therapy, immunotherapy, targeted therapy"
217,Dermatitis due to Sun Exposure,"Redness, itching, rash, blistering","Topical corticosteroids, moisturizers, avoiding sun exposure"
218,Anemia due to Chronic Kidney Disease,"Fatigue, weakness, pale skin","Erythropoiesis-stimulating agents (ESA), iron supplementation, blood transfusions (in severe cases)"
219,Injury to Internal Organ,"Abdominal pain, bleeding, organ dysfunction","Immediate medical attention, diagnostic tests, surgery (in some cases)"
220,Scleritis,"Eye redness, severe eye pain, blurred vision","Steroid eye drops, nonsteroidal anti-inflammatory drugs (NSAIDs), immunosuppressants"
221,Pterygium,Growth on the conjunctiva (white part of the eye),"Artificial tears, eye lubricants, surgical removal (in severe cases)"
222,Fungal Infection of the Skin,"Rash, itching, redness, peeling skin","Antifungal creams, powders, or oral medications, proper hygiene and skin care"
223,Insulin Overdose,"Low blood sugar (hypoglycemia) symptoms (e.g., confusion, sweating)","Immediate treatment of hypoglycemia, medical assistance, adjusting insulin dosage and regimen"
224,Syndrome of Inappropriate Secretion of ADH (SIADH),"Excessively concentrated urine, low blood sodium levels","Treating underlying cause, fluid restriction, medications to suppress ADH (vasopressin) secretion, addressing electrolyte imbalance"
225,Premenstrual Tension Syndrome,"Mood swings, bloating, breast tenderness, irritability","Lifestyle changes, medications (pain relievers, hormonal contraceptives), therapy"
226,Orbital Cellulitis,"Eye pain, swelling, redness, vision changes","Antibiotics, hospitalization (in severe cases), surgical drainage (in some cases)"
227,Injury to the Leg,"Pain, swelling, bruising, difficulty walking","R.I.C.E. (Rest, Ice, Compression, Elevation), pain medications, physical therapy"
228,Hepatic Encephalopathy,"Confusion, forgetfulness, personality changes, tremors","Treating underlying liver disease, medications to manage symptoms, dietary modifications"
229,Bone Cancer,"Bone pain, fractures, fatigue, unexplained weight loss","Surgery, chemotherapy, radiation therapy, targeted therapy"
230,Leishmaniasis,"Skin sores, fever, weight loss, enlarged spleen or liver","Antiparasitic medications, treatment of complications, vector control measures (in endemic areas)"
231,Chagas Disease,"Fever, fatigue, body aches, heart and digestive problems","Antiparasitic medications, medications to manage symptoms, supportive care"
232,Syringomyelia,"Muscle weakness, loss of sensation, chronic pain","Surgical decompression, draining of syrinx (cyst), physical therapy, pain management techniques"
233,Pulmonary Fibrosis,"Shortness of breath, dry cough, fatigue","Medications (immunosuppressants, antifibrotic drugs), oxygen therapy, lung transplantation"
234,Mitral Valve Disease,"Fatigue, shortness of breath, heart palpitations","Medications, lifestyle changes, surgical repair or replacement of the valve (in severe cases)"
235,Parkinson Disease,"Tremors, stiffness, slowness of movement","Medications (levodopa, dopamine agonists), physical therapy, deep brain stimulation"
236,Gout,"Intense joint pain, swelling, redness","Medications (nonsteroidal anti-inflammatory drugs, colchicine), lifestyle changes"
237,Acid Reflux,"Heartburn, regurgitation, difficulty swallowing","Antacids, proton pump inhibitors, lifestyle changes, surgery in severe cases"
238,Anxiety Disorder,"Excessive worry, restlessness, fatigue, irritability","Cognitive behavioral therapy, medications (SSRIs, benzodiazepines), relaxation techniques"
239,Asthma,"Shortness of breath, wheezing, chest tightness, coughing","Inhalers (bronchodilators, corticosteroids), lifestyle changes, avoiding triggers"
240,Autism Spectrum Disorder,"Difficulty with communication, repetitive behaviors, social difficulties","Behavioral therapy, speech therapy, special education services"
241,Alzheimer's Disease,"Memory loss, confusion, difficulty completing familiar tasks","Medications (donepezil, memantine), cognitive therapy, support services"
242,Addison's Disease,"Fatigue, weight loss, low blood pressure, dark skin, dizziness","Hormone replacement therapy, corticosteroids, salt supplementation"
243,Chronic Fatigue Syndrome,"Severe fatigue, sleep disturbances, memory problems","Medications to manage symptoms, lifestyle changes, cognitive behavioral therapy"
244,Celiac Disease,"Diarrhea, bloating, weight loss, fatigue","Gluten-free diet, nutritional supplements, medications for related conditions"
245,Chronic Obstructive Pulmonary Disease (COPD),"Shortness of breath, chronic cough, wheezing","Medications (bronchodilators, steroids), oxygen therapy, pulmonary rehabilitation"
246,Diabetes Mellitus Type 1,"Excessive thirst, frequent urination, unexplained weight loss","Insulin therapy, blood sugar monitoring, lifestyle changes"
247,Diabetes Mellitus Type 2,"Fatigue, increased thirst, frequent urination, blurred vision","Oral medications (metformin, sulfonylureas), insulin, lifestyle changes"
248,Epilepsy,"Seizures, confusion, memory loss","Antiepileptic medications, lifestyle modifications, surgery for unmanageable cases"
249,Fibromyalgia,"Widespread muscle pain, fatigue, sleep disturbances","Medications (antidepressants, pain relievers), physical therapy, stress management"
250,Glaucoma,"Loss of peripheral vision, eye pain, blurred vision","Eye drops, laser therapy, surgery"
251,Heart Attack,"Chest pain, shortness of breath, nausea, dizziness","Medications (blood thinners, pain relievers), surgery (angioplasty, bypass), lifestyle changes"
252,Heart Failure,"Fatigue, shortness of breath, swelling in legs, rapid heartbeat","Medications (diuretics, ACE inhibitors), lifestyle changes, surgery in severe cases"
253,Hemophilia,"Excessive bleeding, joint pain, easy bruising","Factor replacement therapy, clotting factor infusion, avoiding injury"
254,Hepatitis A,"Fatigue, nausea, abdominal pain, jaundice","Supportive care, hydration, rest, vaccination for prevention"
255,Hepatitis B,"Fatigue, jaundice, abdominal pain, loss of appetite","Antiviral medications, liver transplant in severe cases"
256,Hepatitis C,"Fatigue, nausea, jaundice, dark urine","Antiviral medications, liver transplant for advanced cases"
257,High Blood Pressure,"Headaches, dizziness, shortness of breath, chest pain","Antihypertensive medications, lifestyle changes (diet, exercise)"
258,Hyperthyroidism,"Unexplained weight loss, rapid heartbeat, sweating, nervousness","Medications (methimazole, propranolol), radioactive iodine, surgery"
259,Hypothyroidism,"Fatigue, weight gain, cold intolerance, dry skin","Thyroid hormone replacement therapy"
260,Influenza,"Fever, chills, sore throat, muscle aches, fatigue","Antiviral medications, rest, hydration, flu vaccine for prevention"
261,Insomnia,"Difficulty falling or staying asleep, fatigue, irritability","Cognitive behavioral therapy for insomnia, medications (benzodiazepines, melatonin)"
262,Multiple Sclerosis,"Fatigue, difficulty walking, numbness, vision problems","Medications (disease-modifying therapies, steroids), physical therapy, support services"
263,Myasthenia Gravis,"Muscle weakness, difficulty swallowing, drooping eyelids","Medications (acetylcholinesterase inhibitors), thymectomy, immunosuppressants"
264,Osteoarthritis,"Joint pain, stiffness, swelling, reduced mobility","Pain relievers, physical therapy, joint replacement surgery"
265,Osteoporosis,"Fractures, back pain, loss of height, hunched posture","Calcium and vitamin D supplements, medications (bisphosphonates), weight-bearing exercise"
266,Pneumonia,"Cough, chest pain, difficulty breathing, fever","Antibiotics (for bacterial pneumonia), antiviral medications (for viral pneumonia), rest, hydration"
267,Prostate Cancer,"Frequent urination, blood in urine, pelvic pain, bone pain","Surgery, radiation therapy, chemotherapy, hormone therapy"
268,Psoriasis,"Red, itchy, scaly patches of skin","Topical corticosteroids, phototherapy, systemic treatments (biologics, methotrexate)"
269,Restless Leg Syndrome,"Uncontrollable urge to move legs, discomfort in legs, difficulty sleeping","Medications (dopamine agonists, anticonvulsants), lifestyle changes (exercise, relaxation techniques)"
270,Rheumatoid Arthritis,"Joint pain, stiffness, swelling, fatigue","Medications (DMARDs, biologics), physical therapy, joint replacement surgery"
271,Scoliosis,"Curved spine, back pain, uneven shoulders","Bracing, physical therapy, surgery in severe cases"
272,Shingles,"Pain, rash, blisters, fever","Antiviral medications, pain management, shingles vaccine for prevention"
273,Sinusitis,"Facial pain, nasal congestion, headache, fever","Antibiotics (for bacterial sinusitis), nasal decongestants, saline irrigation"
274,Stroke,"Sudden numbness, difficulty speaking, dizziness, confusion","Emergency treatment (tPA, clot removal), rehabilitation, medications to prevent further strokes"
275,Thyroid Cancer,"Lump in neck, hoarseness, difficulty swallowing","Surgery, radiation therapy, chemotherapy"
276,Ulcerative Colitis,"Abdominal pain, diarrhea, weight loss, blood in stool","Medications (anti-inflammatory drugs, immunosuppressants), surgery for severe cases"
277,Urinary Tract Infection (UTI),"Painful urination, frequent urination, cloudy urine, pelvic pain","Antibiotics, hydration, cranberry supplements for prevention"
278,Varicose Veins,"Visible, swollen veins, pain, heaviness in legs","Compression stockings, lifestyle changes, sclerotherapy, surgery"
279,Vitamin D Deficiency,"Fatigue, muscle weakness, bone pain, depression","Vitamin D supplementation, sunlight exposure"
280,Whooping Cough,"Severe coughing fits, difficulty breathing, vomiting after coughing","Antibiotics, cough medications, vaccination for prevention"
281,Zika Virus,"Fever, rash, joint pain, conjunctivitis","Supportive care, hydration, rest, mosquito control measures"
282,Atherosclerosis,"Chest pain, shortness of breath, fatigue","Medications (statins, aspirin), lifestyle changes (diet, exercise), surgery (bypass, stenting)"
283,Acne,"Pimples, blackheads, whiteheads, cysts","Topical treatments (benzoyl peroxide, retinoids), oral medications (antibiotics, hormonal treatments)"
284,Anemia,"Fatigue, weakness, pallor, shortness of breath","Iron supplements, vitamin B12 injections, blood transfusions for severe cases"
285,Ankylosing Spondylitis,"Back pain, stiffness, reduced flexibility, fatigue","Medications (NSAIDs, TNF inhibitors), physical therapy, exercise"
286,Arthritis,"Joint pain, swelling, stiffness, difficulty moving","Medications (NSAIDs, corticosteroids), physical therapy, joint replacement surgery"
287,Asthma,"Shortness of breath, wheezing, coughing, chest tightness","Inhalers (bronchodilators, corticosteroids), avoiding triggers, lifestyle changes"
288,Autoimmune Hepatitis,"Fatigue, jaundice, abdominal pain, joint pain","Immunosuppressive medications, corticosteroids, liver transplant in severe cases"
289,Bladder Cancer,"Painful urination, blood in urine, frequent urination","Surgery, chemotherapy, immunotherapy, radiation therapy"
290,Brucellosis,"Fever, sweating, muscle pain, joint pain, fatigue","Antibiotics, rest, hydration"
291,Cervical Cancer,"Abnormal vaginal bleeding, pelvic pain, pain during intercourse","do first aid , vist the nearby doctor"


293,Female Infertility of Unknown Cause,"Inability to conceive after one year of unprotected intercourse, irregular or absent menstrual cycles, hormonal imbalances, age-related factors, other","Fertility testing and evaluation (hormone tests, imaging, genetic screening), lifestyle modifications (healthy diet, regular exercise, stress reduction), fertility treatments (assisted reproductive technologies, fertility medications)"
294,Pericarditis,"Chest pain (sharp and stabbing), worsens with deep breaths or lying down, fever","Nonsteroidal anti-inflammatory drugs (NSAIDs) to reduce inflammation and pain, colchicine (for recurrent or persistent pericarditis), corticosteroids (in severe cases or when NSAIDs are ineffective), antibiotics (if bacterial infection is present), lifestyle modifications (rest, avoiding strenuous activity), treating underlying causes (if identified), potential pericardiocentesis (fluid drainage)"
295,Attention Deficit Hyperactivity Disorder (ADHD),"Inattention, hyperactivity, impulsivity","Behavioral therapy, parent training programs, medication (such as stimulants or non-stimulants), individualized education plans (IEPs) for academic support, accommodations and modifications in school, psychoeducation, counseling"
296,Neuromyelitis Optica,"Optic neuritis (vision loss, pain with eye movement), transverse myelitis (weakness, numbness, or paralysis of the limbs, loss of bladder or bowel control)","High-dose corticosteroids, plasma exchange (to remove antibodies from the blood), immunosuppressive therapy (such as azathioprine or rituximab), supportive care to manage symptoms, physical therapy or rehabilitation for functional recovery"
297,Pulmonic Valve Disease,"Fatigue, shortness of breath, chest pain or discomfort, heart palpitations, fainting or lightheadedness, swollen legs or ankles","Medications (such as diuretics, beta-blockers, or calcium channel blockers), surgical interventions (such as balloon valvuloplasty or valve replacement), lifestyle modifications (such as regular exercise, heart-healthy diet, smoking cessation), regular follow-up with a cardiologist"
298,Tietze Syndrome,"Chest pain, swelling and tenderness of the cartilage connecting the ribs to the breastbone","Nonsteroidal anti-inflammatory drugs (NSAIDs), pain relievers, local heat or ice application, avoiding activities that worsen symptoms, supportive measures (such as wearing loose clothing or using supportive pillows), physical therapy (to improve posture and strengthen muscles), corticosteroid injections (in some cases), stress reduction techniques"
300,Cranial Nerve Palsy,"Depends on the specific cranial nerve involved; symptoms can include vision changes, eye movement abnormalities, facial weakness or paralysis, difficulty swallowing or speaking, loss of sensation in the face or other areas","Treatment depends on the underlying cause and specific cranial nerve affected. It may include medications (such as corticosteroids or antiviral drugs), physical therapy, speech therapy, occupational therapy, eye exercises, surgery (in some cases), and management of any underlying conditions."
301,Bladder Cancer,"Blood in urine, frequent urination, pelvic pain","Surgery, chemotherapy, radiation therapy"
302,Acute Bronchospasm,"Wheezing, shortness of breath, chest tightness","Bronchodilators (inhaled medications), corticosteroids, supplemental oxygen (if needed)"
303,Acute Glaucoma,"Severe eye pain, blurred vision, halos around lights","Medications (eye drops), laser therapy, surgery (in some cases)"
304,Dislocation of the Patella,"Knee pain, swelling, inability to straighten the leg","Manual reduction, immobilization, physical therapy"
305,Sciatica,Pain radiating from the lower back to the leg,"Pain medications, physical therapy, stretching exercises"
306,Hypercalcemia,"Fatigue, nausea, excessive thirst, kidney stones","Treating underlying cause, hydration, medications"
307,Stress Incontinence,Unintentional urine leakage during physical activity,"Pelvic floor exercises, behavioral techniques, surgery (in severe cases)"
308,Benign Kidney Cyst,"Abdominal or flank pain, blood in urine, frequent urination","Observation, medication (if needed), surgery (in rare cases)"
309,Hydrocele of the Testicle,Swelling of the scrotum,"Observation, surgical drainage (in some cases)"
310,Hirsutism,Excessive hair growth in women,"Medications (anti-androgens, oral contraceptives), hair removal methods, lifestyle changes"
311,Hydronephrosis,"Flank pain, urinary frequency, swelling in the abdomen","Treating underlying cause, medications, ureteral stent, surgery"
312,Diverticulosis,"Abdominal pain, bloating, changes in bowel movements","High-fiber diet, medications (pain relievers, antibiotics)"
313,Pain after an Operation,"Surgical site pain, discomfort, swelling","Pain medications, ice packs, rest, wound care"
314,Huntington Disease,"Motor, cognitive, and psychiatric symptoms","Supportive care, medications (to manage symptoms), therapy"
315,West Nile Virus,"Fever, headache, body aches, rash","Supportive care, symptom management, prevention of mosquito bites"
316,Lymphoma,"Swollen lymph nodes, unexplained weight loss, fatigue","Chemotherapy, radiation therapy, immunotherapy, targeted therapy"
317,Dermatitis due to Sun Exposure,"Redness, itching, rash, blistering","Topical corticosteroids, moisturizers, avoiding sun exposure"
318,Anemia due to Chronic Kidney Disease,"Fatigue, weakness, pale skin","Erythropoiesis-stimulating agents (ESA), iron supplementation, blood transfusions (in severe cases)"
319,Injury to Internal Organ,"Abdominal pain, bleeding, organ dysfunction","Immediate medical attention, diagnostic tests, surgery (in some cases)"
320,Scleritis,"Eye redness, severe eye pain, blurred vision","Steroid eye drops, nonsteroidal anti-inflammatory drugs (NSAIDs), immunosuppressants"
321,Pterygium,Growth on the conjunctiva (white part of the eye),"Artificial tears, eye lubricants, surgical removal (in severe cases)"
322,Fungal Infection of the Skin,"Rash, itching, redness, peeling skin","Antifungal creams, powders, or oral medications, proper hygiene and skin care"
323,Insulin Overdose,"Low blood sugar (hypoglycemia) symptoms (e.g., confusion, sweating)","Immediate treatment of hypoglycemia, medical assistance, adjusting insulin dosage and regimen"
324,Syndrome of Inappropriate Secretion of ADH (SIADH),"Excessively concentrated urine, low blood sodium levels","Treating underlying cause, fluid restriction, medications to suppress ADH (vasopressin) secretion, addressing electrolyte imbalance"
325,Premenstrual Tension Syndrome,"Mood swings, bloating, breast tenderness, irritability","Lifestyle changes, medications (pain relievers, hormonal contraceptives), therapy"
326,Orbital Cellulitis,"Eye pain, swelling, redness, vision changes","Antibiotics, hospitalization (in severe cases), surgical drainage (in some cases)"
327,Injury to the Leg,"Pain, swelling, bruising, difficulty walking","R.I.C.E. (Rest, Ice, Compression, Elevation), pain medications, physical therapy"
328,Hepatic Encephalopathy,"Confusion, forgetfulness, personality changes, tremors","Treating underlying liver disease, medications to manage symptoms, dietary modifications"
329,Bone Cancer,"Bone pain, fractures, fatigue, unexplained weight loss","Surgery, chemotherapy, radiation therapy, targeted therapy"
330,Leishmaniasis,"Skin sores, fever, weight loss, enlarged spleen or liver","Antiparasitic medications, treatment of complications, vector control measures (in endemic areas)"
331,Chagas Disease,"Fever, fatigue, body aches, heart and digestive problems","Antiparasitic medications, medications to manage symptoms, supportive care"
332,Syringomyelia,"Muscle weakness, loss of sensation, chronic pain","Surgical decompression, draining of syrinx (cyst), physical therapy, pain management techniques"
333,Pulmonary Fibrosis,"Shortness of breath, dry cough, fatigue","Medications (immunosuppressants, antifibrotic drugs), oxygen therapy, lung transplantation"
334,Mitral Valve Disease,"Fatigue, shortness of breath, heart palpitations","Medications, lifestyle changes, surgical repair or replacement of the valve (in severe cases)"
335,Parkinson Disease,"Tremors, stiffness, slowness of movement","Medications (levodopa, dopamine agonists), physical therapy, deep brain stimulation"
336,Gout,"Intense joint pain, swelling, redness","Medications (nonsteroidal anti-inflammatory drugs, colchicine), lifestyle changes"
337,Otitis Media,"Ear pain, fever, fluid drainage from the ear","Antibiotics (if bacterial infection), pain relievers, observation (in some cases)"
338,Myelodysplastic Syndrome,"Fatigue, frequent infections, easy bruising or bleeding","Supportive care, blood transfusions, medications, bone marrow transplantation (in some cases)"
339,Fracture of the Shoulder,"Shoulder pain, swelling, limited range of motion","Immobilization (sling, brace), pain management, physical therapy, surgical intervention (in severe cases)"
340,Acute Kidney Injury,"Decreased urine output, fluid retention, fatigue","Treating underlying cause, supportive care, medications to manage complications, dialysis (in severe cases)"
341,Threatened Pregnancy,"Vaginal bleeding, abdominal cramps, pelvic pain","Bed rest, medications (progesterone), monitoring, avoiding activities that may stress the pregnancy"
342,Intracranial Abscess,"Headache, fever, neurological deficits","Antibiotics, surgical drainage or removal of the abscess, supportive care"
343,Gum Disease,"Swollen, red, tender gums, bleeding gums","Oral hygiene practices (brushing, flossing), professional dental cleanings, medications, surgical interventions"
344,Open Wound from Surgical Incision,"Redness, swelling, discharge from the wound","Wound care (cleaning, dressing changes), antibiotics (if infection is present), surgical interventions"
345,Gastrointestinal Hemorrhage,"Abdominal pain, vomiting blood, bloody or black stools","Blood transfusions, endoscopy, surgery (in severe cases), medications to stop bleeding"
346,Seborrheic Dermatitis,"Red, itchy, and oily patches of skin, dandruff, flaky scalp","Topical antifungal creams or ointments, medicated shampoos, corticosteroid creams"
347,Drug Abuse (Methamphetamine),"Increased energy and alertness, decreased appetite, rapid heartbeat","Detoxification, counseling, behavioral therapies, support groups, medication-assisted treatment (if applicable)"
348,Torticollis,"Neck pain, stiffness, and abnormal head positioning","Physical therapy exercises, pain relievers, botulinum toxin injections (in severe cases)"
